date,state,positive,negative,recovered,dateModified,checkTimeEt,death,dateChecked,total,totalTestResults,totalTestResultsIncrease,Total - TotalTestResults
20200306,AK,0.0,8.0,,,,0.0,,9,8,0,1
20200307,AK,0.0,12.0,,,,0.0,,14,12,4,2
20200308,AK,0.0,14.0,,,,0.0,,20,14,2,6
20200309,AK,0.0,23.0,,,,0.0,,32,23,9,9
20200310,AK,0.0,23.0,,,,0.0,,32,23,0,9
20200311,AK,0.0,46.0,,,,0.0,,60,46,23,14
20200312,AK,0.0,46.0,,2020-03-11T16:30:00Z,03/11 12:30,0.0,2020-03-11T16:30:00Z,60,46,0,14
20200313,AK,1.0,59.0,,2020-03-13T00:00:00Z,03/12 20:00,0.0,2020-03-13T00:00:00Z,60,60,14,0
20200314,AK,1.0,143.0,,2020-03-13T16:30:00Z,03/13 12:30,0.0,2020-03-13T16:30:00Z,144,144,84,0
20200315,AK,1.0,143.0,,2020-03-13T16:30:00Z,03/13 12:30,0.0,2020-03-13T16:30:00Z,144,144,0,0
20200316,AK,1.0,143.0,,2020-03-16T15:06:00Z,03/16 11:06,0.0,2020-03-16T15:06:00Z,144,144,0,0
20200317,AK,3.0,334.0,,2020-03-17T00:01:00Z,03/16 20:01,0.0,2020-03-17T00:01:00Z,337,337,193,0
20200318,AK,6.0,406.0,,2020-03-17T23:00:00Z,03/17 19:00,0.0,2020-03-17T23:00:00Z,412,412,75,0
20200319,AK,6.0,432.0,,2020-03-18T16:30:00Z,03/18 12:30,0.0,2020-03-18T16:30:00Z,438,438,26,0
20200320,AK,12.0,686.0,,2020-03-20T16:30:00Z,03/20 12:30,0.0,2020-03-20T16:30:00Z,698,698,260,0
20200321,AK,14.0,758.0,,2020-03-21T16:30:00Z,03/21 12:30,0.0,2020-03-21T16:30:00Z,772,772,74,0
20200322,AK,22.0,946.0,,2020-03-21T16:30:00Z,03/21 12:30,0.0,2020-03-21T16:30:00Z,968,968,196,0
20200323,AK,22.0,946.0,,2020-03-21T16:30:00Z,03/21 12:30,0.0,2020-03-21T16:30:00Z,968,968,0,0
20200324,AK,36.0,986.0,,2020-03-23T19:00:00Z,03/23 15:00,0.0,2020-03-23T19:00:00Z,1022,1022,54,0
20200325,AK,42.0,1649.0,,2020-03-24T21:00:00Z,03/24 17:00,1.0,2020-03-24T21:00:00Z,1691,1691,669,0
20200326,AK,59.0,1801.0,,2020-03-25T21:00:00Z,03/25 17:00,1.0,2020-03-25T21:00:00Z,1860,1860,169,0
20200327,AK,69.0,2319.0,,2020-03-26T21:00:00Z,03/26 17:00,1.0,2020-03-26T21:00:00Z,2401,2388,528,13
20200328,AK,85.0,2836.0,,2020-03-27T19:00:00Z,03/27 15:00,2.0,2020-03-27T19:00:00Z,2921,2921,533,0
20200329,AK,102.0,3232.0,,2020-03-28T19:00:00Z,03/28 15:00,2.0,2020-03-28T19:00:00Z,3334,3334,413,0
20200330,AK,114.0,3540.0,,2020-03-29T19:00:00Z,03/29 15:00,3.0,2020-03-29T19:00:00Z,3654,3654,320,0
20200331,AK,119.0,3594.0,,2020-03-30T19:00:00Z,03/30 15:00,3.0,2020-03-30T19:00:00Z,3713,3713,59,0
20200401,AK,133.0,4470.0,,2020-03-31T19:00:00Z,03/31 15:00,3.0,2020-03-31T19:00:00Z,4603,4603,890,0
